username,photo,caption
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/1b7f3e102c6cf0dc4931dd1cc73ac55a/5E6CE356/t51.2885-15/e35/66185001_2437616179610106_4850935561314374259_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=106,In a good mood so like this and I'll follow you 🤪
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/6b70e1fb6780e21876e78e1c01dfd70c/5E6B4CAE/t51.2885-15/e35/67089728_139605410588690_4791216972020728865_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=102,
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/af11fe7dc16b0b29e2c850e662a63726/5E53B77D/t51.2885-15/e35/67404015_186110022410483_226754734587299578_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=111,Ohhh zaddy got me tingling
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/970a109bc7e437f7f2bae0c010b561fb/5E6D5BB3/t51.2885-15/e35/71513604_489148045004933_7718147939924360453_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=105,Me before my meth addiction vs me after it
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/a7228fc6009ea19cf630ffcd86b5dd4f/5E8752D8/t51.2885-15/e35/66777828_121086009187674_6941115867921414336_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=106,
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/acd9ada727fc74ef642da61aa783e73a/5E885F11/t51.2885-15/e35/67977595_2481088448791222_528393113374485346_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=110,
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/f1facc8b108dcf9482a3de43bc3fd03f/5E57A33C/t51.2885-15/e35/67980858_678637762602547_6157388678568460389_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=107,"Not much can explain or justify my recent actions- I'm not here to apologise just yet because to say you are sorry without changed behaviour is only manipulation- I am going to be taking a wee moment away from social media and really reflect and internalize myself and work on controlling my outbursts and emotional discrepancies. I must work through these burdens of pain and bitterness in order to realign myself to my highest potential. I really didnt think social media would be such a trigger to me at this point but it is and I have so much more to focus on and prioritise in myself at this current time. as much as I appreciate those who are supporting me I also find that this platform enables alot of reckless and immature behaviour on me- This is very scattered because I am high as a kite but I hope you can all allow me the opportunity to change, to grow and to acknowledge my mistakes in my own time... My recent comments I made were inappropriate and attention seeking and I need to readjust my mindset and inform myself on a number of various issues and topics that I still lack adequate knowledge for. I am on the biggest journey to find love and acceptance in myself and I know I can get there, I just need time, patience and Grace. I hope you all take care of yourselves, I'll be sure to do the same and work on nothing but engraining the highest of prospects for myself and others"
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/b7c55d4c02331b4b1b319a58b7442d26/5E684E3D/t51.2885-15/e35/69435736_192426855115299_8611242126475675024_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=103,
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/e1c0717c016ac01e1416e7e5c1a9147e/5E69181B/t51.2885-15/e35/72865208_682839635560916_7175435309514845966_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=108,Throwback to the most painful sunburn I ever had in my life
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/bb8b377542e1a6b70c684d9bef3bb3d6/5E673754/t51.2885-15/e35/70962946_141516450412540_3249149985889464909_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=104,Young thuggish
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/413be9058fd528f9841c4960d00e8704/5E499383/t51.2885-15/e35/68698701_208544893467002_741174015282173034_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=102,I'm thique
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/ce51425901142a93f334f32f3cdc7fc6/5E84E86A/t51.2885-15/e35/66650043_366400657360113_4189674400839852129_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=109,Woke up feeling divine
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/b01d03745cc9501bef7c51c516493e13/5E4DB6CA/t51.2885-15/e35/71520722_132909261413331_866404977369432457_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=103,I feel like I'm dying send help
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/514d80bdd9d6255c7054a9cda50878b9/5E84DCFE/t51.2885-15/e35/70343179_524481778315450_6046070454859624019_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=110,Have a safe week everybody! I'm a month clean from meth yay
waverider_,https://instagram.fzty2-1.fna.fbcdn.net/vp/675740feb67d1cfe44f9c1bae945e8a6/5E5260DD/t51.2885-15/e35/70641159_652326878594020_7728094591678387455_n.jpg?_nc_ht=instagram.fzty2-1.fna.fbcdn.net&_nc_cat=104,Fight hate with love
